Timestamp,RPM,Setpoint,Error,PrevPWM,PWM
44,0,50,50,1754,1899
46,0,50,50,1899,1989
48,0,50,50,1989,2038
50,0,50,50,2038,2062
52,0,50,50,2062,2074
54,0,50,50,2074,2080
56,0,50,50,2080,2083
58,0,50,50,2083,2085
60,0,50,50,2085,2086
62,0,50,50,2086,2087
64,0,50,50,2087,2087
66,0,50,50,2087,2087
68,0,50,50,2087,2087
70,0,50,50,2087,2088
72,0,50,50,2088,2088
74,0,50,50,2088,2088
76,0,50,50,2088,2088
78,0,50,50,2088,2088
80,0,50,50,2088,2089
82,0,50,50,2089,2089
84,0,50,50,2089,2089
86,0,50,50,2089,2089
88,0,50,50,2089,2089
90,0,50,50,2089,2090
92,0,50,50,2090,2090
94,0,50,50,2090,2090
96,0,50,50,2090,2090
98,0,50,50,2090,2090
100,0,50,50,2090,2091
102,0,50,50,2091,2091
104,0,50,50,2091,2091
106,0,50,50,2091,2091
108,9,50,41,2091,2040
110,9,50,41,2040,2015
112,9,50,41,2015,2003
114,9,50,41,2003,1997
116,9,50,41,1997,1994
118,12,50,38,1994,1976
120,12,50,38,1976,1967
122,12,50,38,1967,1963
124,12,50,38,1963,1961
126,12,50,38,1961,1960
128,13,50,37,1960,1954
130,13,50,37,1954,1952
132,13,50,37,1952,1950
134,13,50,37,1950,1950
136,13,50,37,1950,1950
138,23,50,27,1950,1895
140,23,50,27,1895,1870
142,23,50,27,1870,1857
144,23,50,27,1857,1851
146,23,50,27,1851,1849
148,27,50,23,1849,1819
150,27,50,23,1819,1810
152,27,50,23,1810,1807
154,27,50,23,1807,1806
156,27,50,23,1806,1806
158,28,50,22,1806,1794
160,28,50,22,1794,1791
162,28,50,22,1791,1789
164,28,50,22,1789,1789
166,28,50,22,1789,1789
168,38,50,12,1789,1707
170,38,50,12,1707,1652
172,38,50,12,1652,1635
174,38,50,12,1635,1629
176,38,50,12,1629,1627
178,41,50,9,1627,1591
180,41,50,9,1591,1579
182,41,50,9,1579,1576
184,41,50,9,1576,1574
186,41,50,9,1574,1574
188,32,50,18,1574,1665
190,32,50,18,1665,1698
192,32,50,18,1698,1709
194,32,50,18,1709,1712
196,32,50,18,1712,1713
198,39,50,11,1713,1643
200,39,50,11,1643,1615
202,39,50,11,1615,1607
204,39,50,11,1607,1604
206,39,50,11,1604,1603
208,41,50,9,1603,1578
210,41,50,9,1578,1570
212,41,50,9,1570,1568
214,41,50,9,1568,1567
216,41,50,9,1567,1567
218,42,50,8,1567,1559
220,42,50,8,1559,1556
222,42,50,8,1556,1555
224,42,50,8,1555,1555
226,42,50,8,1555,1555
228,42,50,8,1555,1552
230,42,50,8,1552,1552
232,42,50,8,1552,1551
234,42,50,8,1551,1551
236,42,50,8,1551,1551
238,42,50,8,1551,1550
240,42,50,8,1550,1550
242,42,50,8,1550,1550
244,42,50,8,1550,1550
246,42,50,8,1550,1550
248,52,50,-2,1550,1460
250,52,50,-2,1460,1415
252,52,50,-2,1415,1402
254,52,50,-2,1402,1399
256,52,50,-2,1399,1399
258,45,50,5,1399,1467
260,45,50,5,1467,1489
262,45,50,5,1489,1496
264,45,50,5,1496,1498
266,45,50,5,1498,1499
268,43,50,7,1499,1522
270,43,50,7,1522,1530
272,43,50,7,1530,1532
274,43,50,7,1532,1533
276,43,50,7,1533,1533
278,43,50,7,1533,1541
280,43,50,7,1541,1543
282,43,50,7,1543,1544
284,43,50,7,1544,1544
286,43,50,7,1544,1544
288,42,50,8,1544,1547
290,42,50,8,1547,1548
292,42,50,8,1548,1548
294,42,50,8,1548,1548
296,42,50,8,1548,1548
298,42,50,8,1548,1549
300,42,50,8,1549,1549
302,42,50,8,1549,1549
304,42,50,8,1549,1549
306,42,50,8,1549,1549
308,42,50,8,1549,1550
310,42,50,8,1550,1550
312,42,50,8,1550,1550
314,42,50,8,1550,1550
316,42,50,8,1550,1550
318,52,50,-2,1550,1460
320,52,50,-2,1460,1415
322,52,50,-2,1415,1402
324,52,50,-2,1402,1400
326,52,50,-2,1400,1399
328,45,50,5,1399,1467
330,45,50,5,1467,1489
332,45,50,5,1489,1496
334,45,50,5,1496,1498
336,45,50,5,1498,1499
338,43,50,7,1499,1522
340,43,50,7,1522,1530
342,43,50,7,1530,1532
344,43,50,7,1532,1533
346,43,50,7,1533,1534
348,52,50,-2,1534,1446
350,52,50,-2,1446,1407
352,52,50,-2,1407,1398
354,52,50,-2,1398,1396
356,52,50,-2,1396,1396
358,46,50,4,1396,1465
360,46,50,4,1465,1487
362,46,50,4,1487,1494
364,46,50,4,1494,1497
366,46,50,4,1497,1497
368,43,50,7,1497,1522
370,43,50,7,1522,1529
372,43,50,7,1529,1532
374,43,50,7,1532,1533
376,43,50,7,1533,1533
378,43,50,7,1533,1541
380,43,50,7,1541,1544
382,43,50,7,1544,1544
384,43,50,7,1544,1545
386,43,50,7,1545,1545
388,42,50,8,1545,1547
390,42,50,8,1547,1548
392,42,50,8,1548,1548
394,42,50,8,1548,1549
396,42,50,8,1549,1549
398,52,50,-2,1549,1459
400,52,50,-2,1459,1415
402,52,50,-2,1415,1402
404,52,50,-2,1402,1400
406,52,50,-2,1400,1399
408,45,50,5,1399,1467
410,45,50,5,1467,1489
412,45,50,5,1489,1496
414,45,50,5,1496,1499
416,45,50,5,1499,1499
418,43,50,7,1499,1523
420,43,50,7,1523,1530
422,43,50,7,1530,1533
424,43,50,7,1533,1534
426,43,50,7,1534,1534
428,52,50,-2,1534,1446
430,52,50,-2,1446,1408
432,52,50,-2,1408,1398
434,52,50,-2,1398,1396
436,52,50,-2,1396,1396
438,46,50,4,1396,1465
440,46,50,4,1465,1488
442,46,50,4,1488,1495
444,46,50,4,1495,1497
446,46,50,4,1497,1498
448,43,50,7,1498,1522
450,43,50,7,1522,1530
452,43,50,7,1530,1532
454,43,50,7,1532,1533
456,43,50,7,1533,1534
458,52,50,-2,1534,1446
460,52,50,-2,1446,1408
462,52,50,-2,1408,1398
464,52,50,-2,1398,1396
466,52,50,-2,1396,1396
468,46,50,4,1396,1465
470,46,50,4,1465,1488
472,46,50,4,1488,1495
474,46,50,4,1495,1497
476,46,50,4,1497,1498
478,43,50,7,1498,1522
480,43,50,7,1522,1530
482,43,50,7,1530,1532
484,43,50,7,1532,1533
486,43,50,7,1533,1534
488,52,50,-2,1534,1446
490,52,50,-2,1446,1408
492,52,50,-2,1408,1398
494,52,50,-2,1398,1397
496,52,50,-2,1397,1396
498,46,50,4,1396,1465
500,46,50,4,1465,1488
502,46,50,4,1488,1495
504,46,50,4,1495,1497
506,46,50,4,1497,1498
508,43,50,7,1498,1522
510,43,50,7,1522,1530
512,43,50,7,1530,1533
514,43,50,7,1533,1533
516,43,50,7,1533,1534
518,43,50,7,1534,1542
520,43,50,7,1542,1544
522,43,50,7,1544,1545
524,43,50,7,1545,1545
526,43,50,7,1545,1545
528,42,50,8,1545,1548
530,42,50,8,1548,1549
532,42,50,8,1549,1549
534,42,50,8,1549,1549
536,42,50,8,1549,1549
538,52,50,-2,1549,1460
540,52,50,-2,1460,1416
542,52,50,-2,1416,1403
544,52,50,-2,1403,1400
546,52,50,-2,1400,1400
548,45,50,5,1400,1468
550,45,50,5,1468,1490
552,45,50,5,1490,1497
554,45,50,5,1497,1499
556,45,50,5,1499,1500
558,43,50,7,1500,1523
560,43,50,7,1523,1531
562,43,50,7,1531,1533
564,43,50,7,1533,1534
566,43,50,7,1534,1535
568,52,50,-2,1535,1447
570,52,50,-2,1447,1409
572,52,50,-2,1409,1399
574,52,50,-2,1399,1397
576,52,50,-2,1397,1397
578,46,50,4,1397,1466
580,46,50,4,1466,1488
582,46,50,4,1488,1495
584,46,50,4,1495,1498
586,46,50,4,1498,1499
588,43,50,7,1499,1523
590,43,50,7,1523,1531
592,43,50,7,1531,1533
594,43,50,7,1533,1534
596,43,50,7,1534,1534
598,52,50,-2,1534,1447
600,52,50,-2,1447,1408
602,52,50,-2,1408,1399
604,52,50,-2,1399,1397
606,52,50,-2,1397,1397
608,46,50,4,1397,1466
610,46,50,4,1466,1488
612,46,50,4,1488,1495
614,46,50,4,1495,1498
616,46,50,4,1498,1499
618,43,50,7,1499,1523
620,43,50,7,1523,1531
622,43,50,7,1531,1533
624,43,50,7,1533,1534
626,43,50,7,1534,1534
628,52,50,-2,1534,1447
630,52,50,-2,1447,1409
632,52,50,-2,1409,1399
634,52,50,-2,1399,1397
636,52,50,-2,1397,1397
638,46,50,4,1397,1466
640,46,50,4,1466,1488
642,46,50,4,1488,1496
644,46,50,4,1496,1498
646,46,50,4,1498,1499
648,43,50,7,1499,1523
650,43,50,7,1523,1531
652,43,50,7,1531,1533
654,43,50,7,1533,1534
656,43,50,7,1534,1534
658,43,50,7,1534,1542
660,43,50,7,1542,1545
662,43,50,7,1545,1546
664,43,50,7,1546,1546
666,43,50,7,1546,1546
668,42,50,8,1546,1549
670,42,50,8,1549,1549
672,42,50,8,1549,1550
674,42,50,8,1550,1550
676,42,50,8,1550,1550
678,52,50,-2,1550,1461
680,52,50,-2,1461,1417
682,52,50,-2,1417,1403
684,52,50,-2,1403,1401
686,52,50,-2,1401,1400
688,45,50,5,1400,1469
690,45,50,5,1469,1490
692,45,50,5,1490,1498
694,45,50,5,1498,1500
696,45,50,5,1500,1501
698,43,50,7,1501,1524
700,43,50,7,1524,1532
702,43,50,7,1532,1534
704,43,50,7,1534,1535
706,43,50,7,1535,1535
708,52,50,-2,1535,1448
710,52,50,-2,1448,1409
712,52,50,-2,1409,1399
714,52,50,-2,1399,1398
716,52,50,-2,1398,1397
718,46,50,4,1397,1467
720,46,50,4,1467,1489
722,46,50,4,1489,1496
724,46,50,4,1496,1498
726,46,50,4,1498,1499
728,43,50,7,1499,1523
730,43,50,7,1523,1531
732,43,50,7,1531,1534
