Timestamp,RPM,Setpoint,Error,PrevPWM,PWM
43,0,350,350,8191,8191
45,0,350,350,8191,8191
47,9,350,341,8191,8086
49,9,350,341,8086,8191
51,9,350,341,8191,8191
53,9,350,341,8191,8191
55,9,350,341,8191,8191
57,80,350,270,8191,6533
59,80,356,276,6533,6796
61,80,356,276,6796,6906
63,80,356,276,6906,7017
65,80,356,276,7017,7127
67,190,356,166,7127,4450
69,190,356,166,4450,4517
71,190,356,166,4517,4583
73,190,356,166,4583,4649
75,190,356,166,4649,4716
77,264,356,92,4716,2897
79,264,362,98,2897,3093
81,264,362,98,3093,3132
83,264,362,98,3132,3171
85,264,362,98,3171,3210
87,297,362,65,3210,2392
89,297,362,65,2392,2418
91,297,362,65,2418,2444
93,297,362,65,2444,2470
95,297,362,65,2470,2495
97,299,362,63,2495,2487
99,299,368,69,2487,2670
101,299,368,69,2670,2698
103,299,368,69,2698,2726
105,299,368,69,2726,2753
107,299,368,69,2753,2770
109,299,368,69,2770,2798
111,299,368,69,2798,2825
113,299,368,69,2825,2853
115,299,368,69,2853,2880
117,309,368,59,2880,2659
119,309,374,65,2659,2839
121,309,374,65,2839,2865
123,309,374,65,2865,2891
125,309,374,65,2891,2917
127,312,374,62,2917,2862
129,312,374,62,2862,2887
131,312,374,62,2887,2912
133,312,374,62,2912,2937
135,312,374,62,2937,2962
137,304,374,70,2962,3205
139,304,380,76,3205,3387
141,304,380,76,3387,3417
143,304,380,76,3417,3448
145,304,380,76,3448,3479
147,291,380,89,3479,3825
149,291,380,89,3825,3861
151,291,380,89,3861,3897
153,291,380,89,3897,3932
155,291,380,89,3932,3968
157,297,380,83,3968,3861
159,297,386,89,3861,4045
161,297,386,89,4045,4081
163,297,386,89,4081,4116
165,297,386,89,4116,4152
167,308,386,78,4152,3897
169,308,386,78,3897,3928
171,308,386,78,3928,3959
173,308,386,78,3959,3990
175,308,386,78,3990,4021
177,312,386,74,4021,3958
179,312,392,80,3958,4134
181,312,392,80,4134,4166
183,312,392,80,4166,4198
185,312,392,80,4198,4230
187,313,392,79,4230,4231
189,313,392,79,4231,4263
191,313,392,79,4263,4295
193,313,392,79,4295,4326
195,313,392,79,4326,4358
197,323,392,69,4358,4134
199,323,398,75,4134,4304
201,323,398,75,4304,4334
203,323,398,75,4334,4363
205,323,398,75,4363,4393
207,336,398,62,4393,4095
209,336,398,62,4095,4120
211,336,398,62,4120,4144
213,336,398,62,4144,4169
215,336,398,62,4169,4193
217,340,398,58,4193,4112
219,340,403,63,4112,4272
221,340,403,63,4272,4297
223,340,403,63,4297,4322
225,340,403,63,4322,4347
227,342,403,61,4347,4338
229,342,403,61,4338,4362
231,342,403,61,4362,4387
233,342,403,61,4387,4411
235,342,403,61,4411,4436
237,342,403,61,4436,4449
239,342,408,66,4449,4605
241,342,408,66,4605,4632
243,342,408,66,4632,4658
245,342,408,66,4658,4685
247,352,408,56,4685,4463
249,352,408,56,4463,4485
251,352,408,56,4485,4508
253,352,408,56,4508,4530
255,352,408,56,4530,4553
257,365,408,43,4553,4249
259,365,413,48,4249,4393
261,365,413,48,4393,4412
263,365,413,48,4412,4432
265,365,413,48,4432,4451
267,369,413,44,4451,4365
269,369,413,44,4365,4382
271,369,413,44,4382,4400
273,369,413,44,4400,4418
275,369,413,44,4418,4435
277,370,413,43,4435,4419
279,370,418,48,4419,4556
281,370,418,48,4556,4575
283,370,418,48,4575,4594
285,370,418,48,4594,4613
287,371,418,47,4613,4621
289,371,418,47,4621,4640
291,371,418,47,4640,4659
293,371,418,47,4659,4677
295,371,418,47,4677,4696
297,371,418,47,4696,4712
299,371,422,51,4712,4843
301,371,422,51,4843,4864
303,371,422,51,4864,4885
305,371,422,51,4885,4905
307,380,422,42,4905,4680
309,380,422,42,4680,4696
311,380,422,42,4696,4713
313,380,422,42,4713,4730
315,380,422,42,4730,4747
317,393,422,29,4747,4438
319,393,426,33,4438,4556
321,393,426,33,4556,4569
323,393,426,33,4569,4582
325,393,426,33,4582,4595
327,397,426,29,4595,4503
329,397,426,29,4503,4515
331,397,426,29,4515,4526
333,397,426,29,4526,4538
335,397,426,29,4538,4550
337,399,426,27,4550,4527
339,399,430,31,4527,4636
341,399,430,31,4636,4649
343,399,430,31,4649,4661
345,399,430,31,4661,4674
347,399,430,31,4674,4675
349,399,430,31,4675,4688
351,399,430,31,4688,4700
353,399,430,31,4700,4713
355,399,430,31,4713,4725
357,399,430,31,4725,4734
359,399,434,35,4734,4836
361,399,434,35,4836,4850
363,399,434,35,4850,4864
365,399,434,35,4864,4877
367,409,434,25,4877,4645
369,409,434,25,4645,4655
371,409,434,25,4655,4665
373,409,434,25,4665,4675
375,409,434,25,4675,4685
377,422,434,12,4685,4370
379,422,437,15,4370,4456
381,422,437,15,4456,4462
383,422,437,15,4462,4468
385,422,437,15,4468,4474
387,416,437,21,4474,4620
389,416,437,21,4620,4628
391,416,437,21,4628,4636
393,416,437,21,4636,4645
395,416,437,21,4645,4653
397,415,437,22,4653,4706
399,415,440,25,4706,4788
401,415,440,25,4788,4798
403,415,440,25,4798,4808
405,415,440,25,4808,4818
407,424,440,16,4818,4598
409,424,440,16,4598,4605
411,424,440,16,4605,4611
413,424,440,16,4611,4618
415,424,440,16,4618,4624
417,427,440,13,4624,4556
419,427,442,15,4556,4625
421,427,442,15,4625,4631
423,427,442,15,4631,4638
425,427,442,15,4638,4644
427,428,442,14,4644,4626
429,428,442,14,4626,4632
431,428,442,14,4632,4638
433,428,442,14,4638,4644
435,428,442,14,4644,4650
437,428,442,14,4650,4648
439,428,495,67,4648,5978
441,428,495,67,5978,6005
443,428,495,67,6005,6031
445,428,495,67,6031,6058
447,428,495,67,6058,6082
449,428,495,67,6082,6109
451,428,495,67,6109,6135
453,428,495,67,6135,6162
455,428,495,67,6162,6189
457,438,495,57,6189,5970
459,438,496,58,5970,6037
461,438,496,58,6037,6061
463,438,496,58,6061,6084
465,438,496,58,6084,6108
467,450,496,46,6108,5806
469,450,496,46,5806,5825
471,450,496,46,5825,5843
473,450,496,46,5843,5861
475,450,496,46,5861,5880
477,455,496,41,5880,5793
479,455,498,43,5793,5844
481,455,498,43,5844,5862
483,455,498,43,5862,5879
485,455,498,43,5879,5896
487,456,498,42,5896,5879
489,456,498,42,5879,5896
491,456,498,42,5896,5912
493,456,498,42,5912,5929
495,456,498,42,5929,5946
497,456,498,42,5946,5951
499,456,499,43,5951,5993
501,456,499,43,5993,6010
503,456,499,43,6010,6027
505,456,499,43,6027,6044
507,466,499,33,6044,5812
509,466,499,33,5812,5825
511,466,499,33,5825,5838
513,466,499,33,5838,5851
515,466,499,33,5851,5864
517,469,499,30,5864,5797
519,469,499,30,5797,5824
521,469,499,30,5824,5836
523,469,499,30,5836,5848
525,469,499,30,5848,5860
527,470,499,29,5860,5845
529,470,499,29,5845,5857
531,470,499,29,5857,5869
533,470,499,29,5869,5880
535,470,499,29,5880,5892
537,480,499,19,5892,5650
539,480,499,19,5650,5663
541,480,499,19,5663,5670
543,480,499,19,5670,5678
545,480,499,19,5678,5686
547,484,499,15,5686,5611
549,484,499,15,5611,5617
551,484,499,15,5617,5624
553,484,499,15,5624,5630
555,484,499,15,5630,5636
557,485,499,14,5636,5616
559,485,499,14,5616,5617
561,485,499,14,5617,5623
563,485,499,14,5623,5629
565,485,499,14,5629,5635
567,485,499,14,5635,5632
569,485,499,14,5632,5638
571,485,499,14,5638,5643
573,485,499,14,5643,5649
575,485,499,14,5649,5655
577,485,499,14,5655,5658
579,485,499,14,5658,5649
581,485,499,14,5649,5654
583,485,499,14,5654,5660
585,485,499,14,5660,5665
587,495,499,4,5665,5425
589,495,499,4,5425,5426
591,495,499,4,5426,5428
593,495,499,4,5428,5429
595,495,499,4,5429,5431
597,498,499,1,5431,5353
599,498,498,0,5353,5328
601,498,498,0,5328,5328
603,498,498,0,5328,5328
605,498,498,0,5328,5328
607,489,498,9,5328,5547
