Timestamp,RPM,Setpoint,Error,PWMPrev,PWM
43,0,100,100,1632,1648
45,0,100,100,1648,1664
47,0,100,100,1664,1680
49,0,100,100,1680,1696
51,0,100,100,1696,1712
53,0,100,100,1712,1728
55,0,100,100,1728,1744
57,0,100,100,1744,1760
59,0,106,106,1760,1875
61,0,106,106,1875,1892
63,0,106,106,1892,1909
65,0,106,106,1909,1926
67,0,106,106,1926,1943
69,0,106,106,1943,1960
71,0,106,106,1960,1977
73,0,106,106,1977,1993
75,0,106,106,1993,2010
77,0,106,106,2010,2027
79,0,112,112,2027,2146
81,0,112,112,2146,2163
83,0,112,112,2163,2181
85,0,112,112,2181,2199
87,0,112,112,2199,2217
89,0,112,112,2217,2235
91,0,112,112,2235,2253
93,0,112,112,2253,2271
95,0,112,112,2271,2289
97,0,112,112,2289,2307
99,0,118,118,2307,2426
101,0,118,118,2426,2445
103,0,118,118,2445,2464
105,0,118,118,2464,2483
107,0,118,118,2483,2502
109,0,118,118,2502,2521
111,0,118,118,2521,2539
113,0,118,118,2539,2558
115,0,118,118,2558,2577
117,0,118,118,2577,2596
119,0,124,124,2596,2714
121,0,124,124,2714,2734
123,0,124,124,2734,2754
125,0,124,124,2754,2774
127,9,124,115,2774,2638
129,9,124,115,2638,2657
131,9,124,115,2657,2675
133,9,124,115,2675,2694
135,9,124,115,2694,2712
137,12,124,112,2712,2680
139,12,130,118,2680,2795
141,12,130,118,2795,2814
143,12,130,118,2814,2833
145,12,130,118,2833,2852
147,4,130,126,2852,3010
149,4,130,126,3010,3031
151,4,130,126,3031,3051
153,4,130,126,3051,3071
155,4,130,126,3071,3091
157,10,130,120,3091,3001
159,10,136,126,3001,3116
161,10,136,126,3116,3136
163,10,136,126,3136,3156
165,10,136,126,3156,3176
167,32,136,104,3176,2849
169,32,136,104,2849,2865
171,32,136,104,2865,2882
173,32,136,104,2882,2899
175,32,136,104,2899,2915
177,49,136,87,2915,2663
179,49,142,93,2663,2770
181,49,142,93,2770,2785
183,49,142,93,2785,2800
185,49,142,93,2800,2815
187,54,142,88,2815,2743
189,54,142,88,2743,2757
191,54,142,88,2757,2771
193,54,142,88,2771,2785
195,54,142,88,2785,2799
197,65,142,77,2799,2629
199,65,148,83,2629,2732
201,65,148,83,2732,2745
203,65,148,83,2745,2758
205,65,148,83,2758,2771
207,79,148,69,2771,2569
209,79,148,69,2569,2580
211,79,148,69,2580,2591
213,79,148,69,2591,2602
215,79,148,69,2602,2613
217,83,148,65,2613,2554
219,83,153,70,2554,2651
221,83,153,70,2651,2662
223,83,153,70,2662,2674
225,83,153,70,2674,2685
227,85,153,68,2685,2673
229,85,153,68,2673,2684
231,85,153,68,2684,2695
233,85,153,68,2695,2706
235,85,153,68,2706,2717
237,95,153,58,2717,2565
239,95,158,63,2565,2658
241,95,158,63,2658,2668
243,95,158,63,2668,2678
245,95,158,63,2678,2689
247,108,158,50,2689,2490
249,108,158,50,2490,2498
251,108,158,50,2498,2506
253,108,158,50,2506,2514
255,108,158,50,2514,2522
257,112,158,46,2522,2463
259,112,163,51,2463,2550
261,112,163,51,2550,2559
263,112,163,51,2559,2567
265,112,163,51,2567,2575
267,113,163,50,2575,2561
269,113,163,50,2561,2569
271,113,163,50,2569,2577
273,113,163,50,2577,2585
275,113,163,50,2585,2593
277,123,163,40,2593,2438
279,123,168,45,2438,2521
281,123,168,45,2521,2528
283,123,168,45,2528,2535
285,123,168,45,2535,2542
287,136,168,32,2542,2341
289,136,168,32,2341,2346
291,136,168,32,2346,2351
293,136,168,32,2351,2356
295,136,168,32,2356,2361
297,131,168,37,2361,2454
299,131,172,41,2454,2532
301,131,172,41,2532,2538
303,131,172,41,2538,2545
305,131,172,41,2545,2552
307,129,172,43,2552,2587
309,129,172,43,2587,2594
311,129,172,43,2594,2601
313,129,172,43,2601,2608
315,129,172,43,2608,2615
317,138,172,34,2615,2475
319,138,176,38,2475,2548
321,138,176,38,2548,2554
323,138,176,38,2554,2560
325,138,176,38,2560,2566
327,151,176,25,2566,2369
329,151,176,25,2369,2373
331,151,176,25,2373,2377
333,151,176,25,2377,2382
335,151,176,25,2382,2386
337,155,176,21,2386,2324
339,155,180,25,2324,2390
341,155,180,25,2390,2394
343,155,180,25,2394,2398
345,155,180,25,2398,2402
347,146,180,34,2402,2540
349,146,180,34,2540,2546
351,146,180,34,2546,2551
353,146,180,34,2551,2557
355,146,180,34,2557,2562
357,153,180,27,2562,2455
359,153,184,31,2455,2517
361,153,184,31,2517,2522
363,153,184,31,2522,2527
365,153,184,31,2527,2532
367,156,184,28,2532,2500
369,156,184,28,2500,2505
371,156,184,28,2505,2509
373,156,184,28,2509,2514
375,156,184,28,2514,2518
377,156,184,28,2518,2511
379,156,187,31,2511,2567
381,156,187,31,2567,2572
383,156,187,31,2572,2577
385,156,187,31,2577,2582
387,166,187,21,2582,2427
389,166,187,21,2427,2430
391,166,187,21,2430,2434
393,166,187,21,2434,2437
395,166,187,21,2437,2440
397,169,187,18,2440,2392
399,169,190,21,2392,2441
401,169,190,21,2441,2444
403,169,190,21,2444,2448
405,169,190,21,2448,2451
407,170,190,20,2451,2437
409,170,190,20,2437,2440
