Timestamp,RPM,Setpoint,Error,PWM
41,0,250,250,4080
43,0,250,250,4120
45,0,250,250,4160
47,0,250,250,4200
49,0,250,250,4240
51,0,250,250,4280
53,0,250,250,4320
55,0,250,250,4360
57,9,250,241,4244
59,9,256,247,4381
61,9,256,247,4421
63,9,256,247,4460
65,9,256,247,4499
67,41,256,215,4021
69,41,256,215,4055
71,41,256,215,4089
73,41,256,215,4124
75,41,256,215,4158
77,71,256,185,3712
79,71,262,191,3843
81,71,262,191,3874
83,71,262,191,3904
85,71,262,191,3935
87,81,262,181,3809
89,81,262,181,3838
91,81,262,181,3867
93,81,262,181,3896
95,81,262,181,3925
97,103,262,159,3592
99,103,268,165,3718
101,103,268,165,3744
103,103,268,165,3771
105,103,268,165,3797
107,120,268,148,3550
109,120,268,148,3574
111,120,268,148,3597
113,120,268,148,3621
115,120,268,148,3645
117,135,268,133,3424
119,135,274,139,3544
121,135,274,139,3566
123,135,274,139,3589
125,135,274,139,3611
127,159,274,115,3242
129,159,274,115,3260
131,159,274,115,3279
133,159,274,115,3297
135,159,274,115,3316
137,167,274,107,3207
139,167,280,113,3321
141,167,280,113,3340
143,167,280,113,3358
145,167,280,113,3376
147,170,280,110,3353
149,170,280,110,3370
151,170,280,110,3388
153,170,280,110,3406
155,170,280,110,3423
157,180,280,100,3272
159,180,286,106,3383
161,180,286,106,3400
163,180,286,106,3417
165,180,286,106,3434
167,193,286,93,3240
169,193,286,93,3255
171,193,286,93,3270
173,193,286,93,3285
175,193,286,93,3300
177,197,286,89,3246
179,197,292,95,3354
181,197,292,95,3369
183,197,292,95,3384
185,197,292,95,3399
187,199,292,93,3392
189,199,292,93,3407
191,199,292,93,3422
193,199,292,93,3437
195,199,292,93,3452
197,209,292,83,3303
199,209,298,89,3407
201,209,298,89,3421
203,209,298,89,3436
205,209,298,89,3450
207,222,298,76,3255
209,222,298,76,3267
211,222,298,76,3279
213,222,298,76,3292
215,222,298,76,3304
217,226,298,72,3248
219,226,303,77,3347
221,226,303,77,3359
223,226,303,77,3371
225,226,303,77,3384
227,227,303,76,3374
229,227,303,76,3386
231,227,303,76,3398
233,227,303,76,3410
235,227,303,76,3422
237,228,303,75,3427
239,228,308,80,3523
241,228,308,80,3536
243,228,308,80,3549
245,228,308,80,3562
247,238,308,70,3417
249,238,308,70,3428
251,238,308,70,3439
253,238,308,70,3451
255,238,308,70,3462
257,250,308,58,3266
259,250,313,63,3355
261,250,313,63,3365
263,250,313,63,3375
265,250,313,63,3386
267,245,313,68,3484
269,245,313,68,3495
271,245,313,68,3506
273,245,313,68,3517
275,245,313,68,3528
277,243,313,70,3567
279,243,318,75,3655
281,243,318,75,3667
283,243,318,75,3679
285,243,318,75,3691
287,262,318,56,3400
289,262,318,56,3409
291,262,318,56,3418
293,262,318,56,3427
295,262,318,56,3436
297,268,318,50,3347
299,268,322,54,3427
301,268,322,54,3435
303,268,322,54,3444
305,268,322,54,3453
307,270,322,52,3430
309,270,322,52,3438
311,270,322,52,3446
313,270,322,52,3455
315,270,322,52,3463
317,261,322,61,3617
319,261,326,65,3694
321,261,326,65,3704
323,261,326,65,3715
325,261,326,65,3725
327,258,326,68,3783
329,258,326,68,3794
331,258,326,68,3805
333,258,326,68,3816
335,258,326,68,3827
337,276,326,50,3542
339,276,330,54,3612
341,276,330,54,3621
343,276,330,54,3629
345,276,330,54,3638
347,282,330,48,3550
349,282,330,48,3558
351,282,330,48,3566
353,282,330,48,3573
355,282,330,48,3581
357,284,330,46,3557
359,284,334,50,3622
361,284,334,50,3630
363,284,334,50,3638
365,284,334,50,3646
367,295,334,39,3488
369,295,334,39,3494
371,295,334,39,3500
373,295,334,39,3507
375,295,334,39,3513
377,298,334,36,3465
379,298,337,39,3523
381,298,337,39,3529
383,298,337,39,3535
385,298,337,39,3542
387,299,337,38,3530
389,299,337,38,3536
391,299,337,38,3543
393,299,337,38,3549
395,299,337,38,3555
397,299,337,38,3555
399,299,340,41,3607
401,299,340,41,3614
403,299,340,41,3620
405,299,340,41,3627
407,299,340,41,3632
409,299,340,41,3638
411,299,340,41,3645
413,299,340,41,3651
