Timestamp,RPM,Setpoint,Error,PWMPrev,PWM
43,0,635,635,8191,8191
45,0,635,635,8191,8191
47,19,635,616,8191,7980
49,19,635,616,7980,8079
51,19,635,616,8079,8177
53,19,635,616,8177,8191
55,19,635,616,8191,8191
57,83,635,552,8191,7253
59,83,635,552,7253,7341
61,83,635,552,7341,7429
63,83,635,552,7429,7518
65,83,635,552,7518,7606
67,181,635,454,7606,6111
69,181,635,454,6111,6183
71,181,635,454,6183,6256
73,181,635,454,6256,6328
75,181,635,454,6328,6401
77,261,635,374,6401,5180
79,261,635,374,5180,5240
81,261,635,374,5240,5300
83,261,635,374,5300,5359
85,261,635,374,5359,5419
87,306,635,329,5419,4747
89,306,635,329,4747,4800
91,306,635,329,4800,4852
93,306,635,329,4852,4905
95,306,635,329,4905,4957
97,340,635,295,4957,4460
99,340,635,295,4460,4507
101,340,635,295,4507,4554
103,340,635,295,4554,4601
105,340,635,295,4601,4649
107,361,635,274,4649,4361
109,361,635,274,4361,4405
111,361,635,274,4405,4449
113,361,635,274,4449,4493
115,361,635,274,4493,4536
117,368,635,267,4536,4471
119,368,635,267,4471,4514
121,368,635,267,4514,4557
123,368,635,267,4557,4600
125,368,635,267,4600,4642
127,370,635,265,4642,4650
129,370,635,265,4650,4692
131,370,635,265,4692,4734
133,370,635,265,4734,4777
135,370,635,265,4777,4819
137,371,635,264,4819,4850
139,371,635,264,4850,4892
141,371,635,264,4892,4934
143,371,635,264,4934,4977
145,371,635,264,4977,5019
147,380,635,255,5019,4902
149,380,635,255,4902,4942
151,380,635,255,4942,4983
153,380,635,255,4983,5024
155,380,635,255,5024,5064
157,393,635,242,5064,4897
159,393,635,242,4897,4936
161,393,635,242,4936,4974
163,393,635,242,4974,5013
165,393,635,242,5013,5052
167,397,635,238,5052,5023
169,397,635,238,5023,5061
171,397,635,238,5061,5099
173,397,635,238,5099,5136
175,397,635,238,5136,5174
177,399,635,236,5174,5190
179,399,635,236,5190,5228
181,399,635,236,5228,5266
183,399,635,236,5266,5304
185,399,635,236,5304,5341
187,399,635,236,5341,5372
189,399,635,236,5372,5410
191,399,635,236,5410,5447
193,399,635,236,5447,5485
195,399,635,236,5485,5522
197,409,635,226,5522,5402
199,409,635,226,5402,5438
201,409,635,226,5438,5474
203,409,635,226,5474,5510
205,409,635,226,5510,5546
207,422,635,213,5546,5375
209,422,635,213,5375,5409
211,422,635,213,5409,5443
213,422,635,213,5443,5477
215,422,635,213,5477,5511
217,426,635,209,5511,5478
219,426,635,209,5478,5511
221,426,635,209,5511,5545
223,426,635,209,5545,5578
225,426,635,209,5578,5611
227,437,635,198,5611,5467
229,437,635,198,5467,5499
231,437,635,198,5499,5530
233,437,635,198,5530,5562
235,437,635,198,5562,5593
237,441,635,194,5593,5567
239,441,635,194,5567,5598
241,441,635,194,5598,5629
243,441,635,194,5629,5660
245,441,635,194,5660,5691
247,442,635,193,5691,5704
249,442,635,193,5704,5735
251,442,635,193,5735,5765
253,442,635,193,5765,5796
255,442,635,193,5796,5827
257,452,635,183,5827,5696
259,452,635,183,5696,5725
261,452,635,183,5725,5754
263,452,635,183,5754,5784
265,452,635,183,5784,5813
267,465,635,170,5813,5634
269,465,635,170,5634,5661
271,465,635,170,5661,5688
273,465,635,170,5688,5715
275,465,635,170,5715,5742
277,469,635,166,5742,5702
279,469,635,166,5702,5728
281,469,635,166,5728,5755
283,469,635,166,5755,5781
285,469,635,166,5781,5808
287,470,635,165,5808,5812
289,470,635,165,5812,5839
291,470,635,165,5839,5865
293,470,635,165,5865,5891
295,470,635,165,5891,5918
297,471,635,164,5918,5937
299,471,635,164,5937,5963
301,471,635,164,5963,5989
303,471,635,164,5989,6015
305,471,635,164,6015,6042
307,471,635,164,6042,6065
309,471,635,164,6065,6092
311,471,635,164,6092,6118
313,471,635,164,6118,6144
315,471,635,164,6144,6170
317,480,635,155,6170,6040
319,480,635,155,6040,6064
321,480,635,155,6064,6089
323,480,635,155,6089,6114
325,480,635,155,6114,6138
327,484,635,151,6138,6112
329,484,635,151,6112,6136
331,484,635,151,6136,6160
333,484,635,151,6160,6185
335,484,635,151,6185,6209
337,494,635,141,6209,6061
339,494,635,141,6061,6083
341,494,635,141,6083,6105
343,494,635,141,6105,6128
345,494,635,141,6128,6150
347,498,635,137,6150,6117
349,498,635,137,6117,6139
351,498,635,137,6139,6160
353,498,635,137,6160,6182
355,498,635,137,6182,6204
357,499,635,136,6204,6208
359,499,635,136,6208,6230
361,499,635,136,6230,6251
363,499,635,136,6251,6273
365,499,635,136,6273,6295
367,509,635,126,6295,6155
369,509,635,126,6155,6175
371,509,635,126,6175,6195
373,509,635,126,6195,6215
375,509,635,126,6215,6235
377,512,635,123,6235,6203
379,512,635,123,6203,6222
381,512,635,123,6222,6242
383,512,635,123,6242,6261
385,512,635,123,6261,6281
387,513,635,122,6281,6283
389,513,635,122,6283,6303
391,513,635,122,6303,6322
393,513,635,122,6322,6342
395,513,635,122,6342,6361
397,514,635,121,6361,6375
399,514,635,121,6375,6394
401,514,635,121,6394,6414
403,514,635,121,6414,6433
405,514,635,121,6433,6452
407,514,635,121,6452,6470
409,514,635,121,6470,6489
411,514,635,121,6489,6509
413,514,635,121,6509,6528
415,514,635,121,6528,6547
417,514,635,121,6547,6566
419,514,635,121,6566,6585
421,514,635,121,6585,6605
423,514,635,121,6605,6624
425,514,635,121,6624,6643
427,523,635,112,6643,6507
429,523,635,112,6507,6524
431,523,635,112,6524,6542
433,523,635,112,6542,6560
435,523,635,112,6560,6578
437,526,635,109,6578,6545
439,526,635,109,6545,6562
441,526,635,109,6562,6579
443,526,635,109,6579,6597
445,526,635,109,6597,6614
447,528,635,107,6614,6615
449,528,635,107,6615,6632
451,528,635,107,6632,6649
453,528,635,107,6649,6666
455,528,635,107,6666,6683
457,537,635,98,6683,6539
459,537,635,98,6539,6555
461,537,635,98,6555,6570
463,537,635,98,6570,6586
465,537,635,98,6586,6601
467,541,635,94,6601,6564
469,541,635,94,6564,6579
471,541,635,94,6579,6594
473,541,635,94,6594,6609
475,541,635,94,6609,6624
477,532,635,103,6624,6778
479,532,635,103,6778,6795
481,532,635,103,6795,6811
483,532,635,103,6811,6827
485,532,635,103,6827,6844
487,529,635,106,6844,6905
489,529,635,106,6905,6922
491,529,635,106,6922,6939
493,529,635,106,6939,6956
495,529,635,106,6956,6973
497,538,635,97,6973,6848
499,538,635,97,6848,6864
501,538,635,97,6864,6879
503,538,635,97,6879,6895
505,538,635,97,6895,6910
507,551,635,84,6910,6724
509,551,635,84,6724,6737
511,551,635,84,6737,6751
513,551,635,84,6751,6764
515,551,635,84,6764,6777
517,555,635,80,6777,6725
519,555,635,80,6725,6738
521,555,635,80,6738,6751
523,555,635,80,6751,6764
525,555,635,80,6764,6776
527,546,635,89,6776,6924
529,546,635,89,6924,6938
531,546,635,89,6938,6952
533,546,635,89,6952,6966
535,546,635,89,6966,6980
537,544,635,91,6980,7038
539,544,635,91,7038,7053
541,544,635,91,7053,7067
543,544,635,91,7067,7082
545,544,635,91,7082,7096
547,552,635,83,7096,6969
549,552,635,83,6969,6982
551,552,635,83,6982,6995
553,552,635,83,6995,7009
555,552,635,83,7009,7022
557,555,635,80,7022,6989
559,555,635,80,6989,7002
561,555,635,80,7002,7014
563,555,635,80,7014,7027
565,555,635,80,7027,7040
567,556,635,79,7040,7037
569,556,635,79,7037,7050
571,556,635,79,7050,7062
573,556,635,79,7062,7075
575,556,635,79,7075,7088
577,556,635,79,7088,7095
579,556,635,79,7095,7108
581,556,635,79,7108,7120
583,556,635,79,7120,7133
585,556,635,79,7133,7145
587,557,635,78,7145,7156
589,557,635,78,7156,7169
591,557,635,78,7169,7181
593,557,635,78,7181,7194
595,557,635,78,7194,7206
597,566,635,69,7206,7062
599,566,635,69,7062,7073
601,566,635,69,7073,7084
603,566,635,69,7084,7095
605,566,635,69,7095,7106
607,560,635,75,7106,7222
609,560,635,75,7222,7234
611,560,635,75,7234,7246
613,560,635,75,7246,7258
615,560,635,75,7258,7270
617,558,635,77,7270,7316
619,558,635,77,7316,7328
621,558,635,77,7328,7340
623,558,635,77,7340,7353
625,558,635,77,7353,7365
627,567,635,68,7365,7233
629,567,635,68,7233,7243
631,567,635,68,7243,7254
633,567,635,68,7254,7265
635,567,635,68,7265,7276
637,569,635,66,7276,7240
639,569,635,66,7240,7250
641,569,635,66,7250,7261
643,569,635,66,7261,7271
645,569,635,66,7271,7282
647,570,635,65,7282,7277
649,570,635,65,7277,7287
651,570,635,65,7287,7297
653,570,635,65,7297,7307
655,570,635,65,7307,7318
657,571,635,64,7318,7323
659,571,635,64,7323,7333
661,571,635,64,7333,7343
663,571,635,64,7343,7354
665,571,635,64,7354,7364
667,571,635,64,7364,7372
669,571,635,64,7372,7383
671,571,635,64,7383,7393
673,571,635,64,7393,7403
675,571,635,64,7403,7413
677,571,635,64,7413,7423
679,571,635,64,7423,7433
681,571,635,64,7433,7443
683,571,635,64,7443,7453
685,571,635,64,7453,7464
687,571,635,64,7464,7474
689,571,635,64,7474,7484
691,571,635,64,7484,7494
693,571,635,64,7494,7504
695,571,635,64,7504,7514
697,571,635,64,7514,7525
699,571,635,64,7525,7535
701,571,635,64,7535,7545
703,571,635,64,7545,7555
705,571,635,64,7555,7565
707,571,635,64,7565,7575
709,571,635,64,7575,7586
711,571,635,64,7586,7596
713,571,635,64,7596,7606
715,571,635,64,7606,7616
717,571,635,64,7616,7626
719,571,635,64,7626,7637
721,571,635,64,7637,7647
723,571,635,64,7647,7657
725,571,635,64,7657,7667
727,571,635,64,7667,7677
729,571,635,64,7677,7687
731,571,635,64,7687,7698
733,571,635,64,7698,7708
735,571,635,64,7708,7718
737,571,635,64,7718,7728
739,571,635,64,7728,7738
741,571,635,64,7738,7749
743,571,635,64,7749,7759
745,571,635,64,7759,7769
747,580,635,55,7769,7623
749,580,635,55,7623,7632
751,580,635,55,7632,7641
753,580,635,55,7641,7649
755,580,635,55,7649,7658
757,584,635,51,7658,7616
759,584,635,51,7616,7624
761,584,635,51,7624,7632
763,584,635,51,7632,7640
765,584,635,51,7640,7648
767,575,635,60,7648,7796
769,575,635,60,7796,7805
771,575,635,60,7805,7815
773,575,635,60,7815,7825
775,575,635,60,7825,7834
777,572,635,63,7834,7889
779,572,635,63,7889,7899
781,572,635,63,7899,7909
783,572,635,63,7909,7919
785,572,635,63,7919,7929
787,571,635,64,7929,7953
789,571,635,64,7953,7964
791,571,635,64,7964,7974
793,571,635,64,7974,7984
795,571,635,64,7984,7994
797,581,635,54,7994,7853
799,581,635,54,7853,7862
801,581,635,54,7862,7870
803,581,635,54,7870,7879
805,581,635,54,7879,7887
807,593,635,42,7887,7691
809,593,635,42,7691,7698
811,593,635,42,7698,7704
813,593,635,42,7704,7711
815,593,635,42,7711,7717
817,597,635,38,7717,7658
819,597,635,38,7658,7663
821,597,635,38,7663,7669
823,597,635,38,7669,7675
825,597,635,38,7675,7681
827,599,635,36,7681,7666
829,599,635,36,7666,7671
831,599,635,36,7671,7677
833,599,635,36,7677,7683
835,599,635,36,7683,7688
837,599,635,36,7688,7687
839,599,635,36,7687,7693
841,599,635,36,7693,7698
843,599,635,36,7698,7704
845,599,635,36,7704,7710
847,599,635,36,7710,7713
849,599,635,36,7713,7719
851,599,635,36,7719,7724
853,599,635,36,7724,7730
855,599,635,36,7730,7736
857,599,635,36,7736,7740
859,599,635,36,7740,7746
861,599,635,36,7746,7752
863,599,635,36,7752,7757
865,599,635,36,7757,7763
867,599,635,36,7763,7768
869,599,635,36,7768,7774
871,599,635,36,7774,7780
873,599,635,36,7780,7785
875,599,635,36,7785,7791
877,599,635,36,7791,7796
